B_Index,N_Index,Cl_Index,conf_idxs_ts,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl,G_energy_qharm,TS_G_qharm,deltaG_react_qharm,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol)
389,308,483,1,-1798.640247,8.40278975,22.80294213,2.016634876,1.987649508,-1798.804075,-1798.767487,10.08563423,10.08563423,22.95925602
389,323,483,23,-1894.297771,0.12568825,20.15762802,2.023542242,1.985210757,-1894.423345,-1894.387761,3.951761201,3.951761201,22.32960414
389,324,483,10,-1739.689197,5.06248175,22.553103,2.013511155,1.939003958,-1739.828127,-1739.788319,8.195457393,8.195457393,24.97983564
389,328,483,10,-1859.582407,14.6030545,33.65891802,2.001853478,1.961373433,-1859.708954,-1859.656645,16.1498848,16.1498848,32.82426025
389,367,483,10,-1968.2432,24.0075225,43.48140143,2.010305691,2.035298405,-1968.475233,-1968.414222,22.64379661,22.64379661,38.28519626
389,377,488,10,-1781.081819,5.34862175,19.41151798,2.097444489,2.101942234,-1781.237878,-1781.210975,8.243149452,8.243149452,16.88166481
390,160,484,1,-1387.715119,12.59511725,37.31957733,2.046600899,2.43843874,-1387.889347,-1387.839944,14.31349446,14.31349446,31.00086143
390,178,484,12,-1415.258619,0.21027525,31.54630122,2.364248887,2.268494804,-1415.464041,-1415.421693,1.209450991,1.209450991,26.57407886
390,245,484,10,-1295.244379,4.5575325,34.42890445,2.15505879,2.299201976,-1295.420576,-1295.376794,5.498879602,5.498879602,27.47364917
390,263,484,10,-1413.116371,-0.5239625,33.80965607,2.250739215,2.277151818,-1413.312909,-1413.27173,1.177925561,1.177925561,25.84031288
390,273,484,1,-1366.384475,4.07467125,32.61470155,2.094544431,2.278251763,-1366.582271,-1366.537248,4.210231313,4.210231313,28.25187285
390,280,484,3,-1352.7475,1.91770275,33.7342494,2.172404337,2.276306739,-1352.944561,-1352.901639,2.656100925,2.656100925,26.93385878
390,291,484,11,-1594.948006,7.05015075,30.54178667,2.058716685,2.314683668,-1595.076964,-1595.035084,6.168109185,6.168109185,26.28047576
390,293,484,12,-1426.94791,1.01033775,37.03665012,2.28743182,2.254895504,-1427.133411,-1427.086741,0.169435102,0.169435102,29.28533247
390,296,484,11,-1461.004093,10.03667425,31.79375585,2.030734987,2.385038671,-1461.215842,-1461.173258,10.18699132,10.18699132,26.72240984
390,298,484,0,-1276.524393,2.1383945,38.54748188,2.277425962,2.262084529,-1276.71047,-1276.661583,2.415790543,2.415790543,30.67751492
390,300,484,2,-1350.187226,10.0697435,38.00529677,2.04285025,2.303674318,-1350.393729,-1350.343436,10.14129153,10.14129153,31.55964827
390,302,483,1,-1852.552821,34.16932025,53.02774717,1.994435587,2.210991623,-1852.737519,-1852.659187,34.07161962,34.07161962,49.15412577
390,304,484,10,-1276.526633,0.04976075,36.62138317,2.241224339,2.240763629,-1276.709997,-1276.6632,1.062329449,1.062329449,29.36562139
390,306,483,0,-1852.563232,36.084764,52.90918733,2.014528379,2.18135427,-1852.748595,-1852.671393,36.27740867,36.27740867,48.44493111
390,306,484,4,-1382.410232,21.01290425,32.90377825,2.014615349,2.490091547,-1382.610449,-1382.564504,21.26701343,21.26701343,28.83106111
390,307,484,11,-1351.529818,0.93641825,33.92002077,2.178069965,2.244196088,-1351.733941,-1351.6898,1.68823968,1.68823968,27.69851088
390,328,484,10,-1396.469126,1.45347825,30.78968682,2.137605246,2.241915283,-1396.612832,-1396.572839,1.141156196,1.141156196,25.09598953
390,333,448,0,-2445.855473,0.7822415,30.85854868,2.082092857,2.336792805,-2446.045768,-2446.006286,2.151974676,2.151974676,24.77563001
390,333,488,15,-1907.39036,14.34910525,20.55959825,2.216969241,2.046085687,-1907.549898,-1907.521132,17.75535754,17.75535754,18.0506336
390,333,574,11,-1524.458809,6.265964,37.2393389,2.048120163,2.353712233,-1524.65529,-1524.614755,6.766613261,6.766613261,25.43615731
390,377,483,0,-1841.601588,39.199925,55.5413804,2.015140549,2.142070692,-1841.782906,-1841.700275,38.67013484,38.67013484,51.85221905
391,138,484,10,-1879.9134,-4.00094,21.3297792,2.419040575,2.067517568,-1880.125531,-1880.098982,-3.263023997,-3.263023997,16.65943228
391,160,484,0,-1364.552357,13.178002,33.3497927,2.045437137,2.355636686,-1364.742548,-1364.696508,15.76645184,15.76645184,28.8905909
391,160,523,11,-1359.041413,-0.66207525,29.10847628,2.263093931,2.163050191,-1359.190179,-1359.154222,0.775817036,0.775817036,22.56359012
391,263,484,10,-1389.941261,-0.7887675,33.35690855,2.257559219,2.261498961,-1390.159323,-1390.117844,1.550518063,1.550518063,26.02828799
391,280,484,0,-1329.575582,1.006008,32.438487,2.090023799,2.236611012,-1329.794172,-1329.749721,4.129100289,4.129100289,27.89359565
391,302,526,1,-1296.941585,-2.40709,8.14177485,2.506506485,2.306653743,-1297.082236,-1297.073091,0.746880502,0.746880502,5.73870459
391,306,483,11,-1829.404471,36.43785825,43.4249327,2.554504296,1.976066976,-1829.59684,-1829.533956,37.90840474,37.90840474,39.46014259
391,333,488,10,-1884.218693,14.28761025,19.05141455,2.149947351,2.02979616,-1884.39686,-1884.370015,17.33690489,17.33690489,16.8453536
391,348,483,14,-1764.016263,9.2805995,23.9825229,2.026746014,2.031814893,-1764.145916,-1764.11363,9.921662476,9.921662476,20.26014236
391,377,483,0,-1818.432049,38.2477565,52.18216583,2.01277184,2.148491861,-1818.630247,-1818.551338,38.23732746,38.23732746,49.51656616
392,27,492,0,-1541.436282,37.44449375,45.71511318,2.70060879,1.82901446,-1541.5715,-1541.495945,17.81310287,17.81310287,47.41145448
392,27,517,10,-1084.231524,-0.919664,46.9898606,3.033148724,1.977107895,-1084.372182,-1084.293863,1.905170611,1.905170611,49.14543499
392,160,485,0,-1819.877653,21.94574575,37.40970515,2.013968336,2.314713135,-1820.034659,-1819.978824,21.91075339,21.91075339,35.03676973
392,200,485,10,-1824.175668,3.920118,11.41723073,2.039017331,2.407084484,-1824.328036,-1824.314958,4.852164579,4.852164579,8.206612143
392,291,485,0,-2027.109461,18.33812275,32.82507092,1.945187693,2.328388803,-2027.225912,-2027.181446,15.74349448,15.74349448,27.90251514
392,306,526,0,-1260.109938,3.69528475,10.2264428,2.446270011,2.28335894,-1260.242067,-1260.229127,4.086065542,4.086065542,8.120121924
392,308,485,0,-1767.689149,9.97216725,20.9280286,2.004305099,2.362610285,-1767.855701,-1767.829163,8.096618638,8.096618638,16.65295172
392,333,488,11,-1847.371947,16.25570125,23.78472862,2.154910988,2.080963514,-1847.545325,-1847.512597,17.93605242,17.93605242,20.53722948
392,377,483,0,-1781.588081,40.49351625,53.3279369,2.0172243,2.182645519,-1781.776701,-1781.698054,38.53359277,38.53359277,49.35164817
393,21,483,0,-1669.644854,-3.2799425,10.57079598,2.173225107,2.07366542,-1669.729392,-1669.714503,-2.920454496,-2.920454496,9.342876911
393,67,483,0,-1685.749658,-4.01656475,6.781662325,2.154199342,2.037589176,-1685.829667,-1685.819843,-3.548913717,-3.548913717,6.164680147
393,160,449,0,-2241.689417,-3.97715775,25.28997563,2.650313488,2.290677467,-2241.787978,-2241.759703,-3.839530453,-3.839530453,17.74307711
393,160,450,1,-2813.86572,0.76987975,28.40113945,2.485079095,2.347152171,-2813.988364,-2813.956809,2.159802447,2.159802447,19.80137872
393,160,451,14,-2515.064082,1.40490975,26.6862196,2.463600428,2.431409871,-2515.255409,-2515.222505,3.22322395,3.22322395,20.647591
393,160,483,0,-1873.122042,34.8047895,45.88551708,2.21592702,2.297415091,-1873.277357,-1873.205717,35.97692612,35.97692612,44.95482696
393,163,486,10,-1774.154432,24.2206215,44.82512992,2.21074206,2.343196446,-1774.274654,-1774.209363,23.12490251,23.12490251,40.97125266
393,176,486,0,-1405.206203,20.597813,44.42169135,2.330765761,2.265600804,-1405.388809,-1405.322301,21.42188584,21.42188584,41.7347901
393,178,486,20,-1354.263928,19.471074,40.84207995,2.301635351,2.35940932,-1354.471515,-1354.40988,20.47290886,20.47290886,38.67641479
393,193,486,1,-1444.571543,26.94102225,47.8026237,2.237462748,2.386211708,-1444.76719,-1444.69618,27.50589748,27.50589748,44.55965531
393,280,523,0,-1362.465793,-2.18501775,32.29729323,2.801896511,2.177353047,-1362.640225,-1362.603757,-3.910912249,-3.910912249,22.88458954
393,292,483,0,-1867.810789,38.665295,53.09556738,2.085615085,2.22591196,-1868.009866,-1867.931959,38.02947331,38.02947331,48.88698494
393,300,486,11,-1289.183362,32.1466995,55.00801167,2.069326021,2.352195947,-1289.4031,-1289.323497,30.92398652,30.92398652,49.95165579
393,301,486,10,-1404.747303,19.427149,45.5144073,2.363031288,2.295095474,-1404.953035,-1404.889193,17.59188513,17.59188513,40.06116014
393,302,483,0,-1867.78152,39.92876625,55.30485683,2.185388666,2.227652183,-1867.984544,-1867.902417,39.28188184,39.28188184,51.53584828
