search_space,relative_folder,matched_identifiers,ts_candidate_identifiers,full_conf_identifiers,component_inferred_identifiers,component_ts_fallback_identifiers,component_non_ts_artifact_identifiers,ambiguous_component_identifiers,matched_components,matched_files,example_identifiers
Y backup Sum/*/*,IRC_full3_/subdir_99,2,2,2,0,0,0,0,2,2,"B_00394_Nu_00331_Cl_00597_0000, B_00422_Nu_00107_Cl_00618_0000"
Y backup Data/*/*,15/IRC,1,1,1,0,0,0,0,1,4,B_00388_Nu_00143_Cl_00487_0000
Y backup Data/*/*,4/IRC,1,1,1,0,0,0,0,1,4,B_00391_Nu_00054_Cl_00524_0000
Y backup Data/*/*,First_ts/irc_new_2,1,1,1,0,0,0,0,1,4,B_00389_Nu_00020_Cl_00591_0000
Y backup Data/*/*,1/TS_improve,1,1,1,0,0,0,0,1,2,B_00429_Nu_00064_Cl_00460_0000
Y backup Data/*/*,10/TS,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00535_0000
Y backup Data/*/*,10/TS_ENG,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00535_0000
Y backup Data/*/*,10/TS_improve,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00535_0000
Y backup Data/*/*,11/TS,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00593_0000
Y backup Data/*/*,11/TS_ENG,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00593_0000
Y backup Data/*/*,14/TS,1,1,1,0,0,0,0,1,2,B_00401_Nu_00382_Cl_00516_0000
Y backup Data/*/*,14/TS_ENG,1,1,1,0,0,0,0,1,2,B_00401_Nu_00382_Cl_00516_0000
Y backup Data/*/*,19/TS,1,1,1,0,0,0,0,1,2,B_00402_Nu_00153_Cl_00519_0000
Y backup Data/*/*,19/TS_ENG,1,1,1,0,0,0,0,1,2,B_00402_Nu_00153_Cl_00519_0000
Y backup Data/*/*,2/TS,1,1,1,0,0,0,0,1,2,B_00429_Nu_00157_Cl_00516_0000
Y backup Data/*/*,2/TS_ENG,1,1,1,0,0,0,0,1,2,B_00429_Nu_00157_Cl_00516_0000
Y backup Data/*/*,20/TS_improve,1,1,1,0,0,0,0,1,2,B_00424_Nu_00173_Cl_00519_0000
Y backup Data/*/*,21/TS_improve,1,1,1,0,0,0,0,1,2,B_00401_Nu_00365_Cl_00511_0000
Y backup Data/*/*,22/TS_improve,1,1,1,0,0,0,0,1,2,B_00430_Nu_00308_Cl_00500_0000
Y backup Data/*/*,4/TS,1,1,1,0,0,0,0,1,2,B_00391_Nu_00054_Cl_00524_0000
Y backup Data/*/*,4/TS_ENG,1,1,1,0,0,0,0,1,2,B_00391_Nu_00054_Cl_00524_0000
Y backup Data/*/*,5/TS_improve,1,1,1,0,0,0,0,1,2,B_00391_Nu_00057_Cl_00563_0000
Y backup Data/*/*,6/TS_improve,1,1,1,0,0,0,0,1,2,B_00441_Nu_00387_Cl_00597_0000
Y backup Data/*/*,8/TS,1,1,1,0,0,0,0,1,2,B_00404_Nu_00193_Cl_00549_0001
Y backup Data/*/*,8/TS_ENG,1,1,1,0,0,0,0,1,2,B_00404_Nu_00193_Cl_00549_0001
Y backup Data/*/*,18/ts_dust_bin,1,1,1,0,0,0,0,1,1,B_00391_Nu_00050_Cl_00599_0000
Y backup Data/*/*,5/ts_dust_bin,1,1,1,0,0,0,0,1,1,B_00397_Nu_00288_Cl_00459_0000
Y backup Sum/*/*,IRC_full3_/subdir_0,1,1,1,0,0,0,0,1,1,B_00408_Nu_00302_Cl_00543_0000
Y backup Sum/*/*,IRC_full3_/subdir_1,1,1,1,0,0,0,0,1,1,B_00417_Nu_00307_Cl_00549_0001
Y backup Sum/*/*,IRC_full3_/subdir_10,1,1,1,0,0,0,0,1,1,B_00429_Nu_00256_Cl_00602_0000
Y backup Sum/*/*,IRC_full3_/subdir_171,1,1,1,0,0,0,0,1,1,B_00392_Nu_00349_Cl_00533_0000
Y backup Sum/*/*,IRC_full3_/subdir_174,1,1,1,0,0,0,0,1,1,B_00415_Nu_00309_Cl_00463_0000
Y backup Sum/*/*,IRC_full3_/subdir_175,1,1,1,0,0,0,0,1,1,B_00415_Nu_00309_Cl_00463_0000
Y backup Sum/*/*,IRC_full3_/subdir_18,1,1,1,0,0,0,0,1,1,B_00405_Nu_00338_Cl_00476_0000
Y backup Sum/*/*,IRC_full3_/subdir_183,1,1,1,0,0,0,0,1,1,B_00408_Nu_00288_Cl_00591_0000
Y backup Sum/*/*,IRC_full3_/subdir_185,1,1,1,0,0,0,0,1,1,B_00415_Nu_00309_Cl_00566_0000
Y backup Sum/*/*,IRC_full3_/subdir_189,1,1,1,0,0,0,0,1,1,B_00388_Nu_00301_Cl_00592_0000
Y backup Sum/*/*,IRC_full3_/subdir_19,1,1,1,0,0,0,0,1,1,B_00405_Nu_00338_Cl_00476_0000
