Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,error_reason_r,Avaliable,G_energy_r_qharm
CP1Oc2cccc3cccc(c23)O1,114,1,-916.392366367,-916.254619367,0.0,,1,-916.3574095869865
c1ccc(P(c2ccccc2)c2ccccc2)cc1,115,4,-1036.2482702,-1036.0202802,0.0,,2,-1036.1682301274884
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,116,7,-1154.19900956,-1153.89076056,0.0,,2,-1154.0637912723018
Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,117,5,-1333.97316121,-1333.77364121,0.0,,1,-1333.8948288540237
COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,118,6,-1379.81330985,-1379.49712985,0.0,,2,-1379.6689510030503
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,119,8,-1379.81153916,-1379.49312416,0.0,,1,-1379.6703659663783
C=Cc1ccc(P(c2ccc(C=C)cc2)c2ccc(C=C)cc2)cc1,120,6,-1268.4245121,-1268.1082941,1.0,,1,-1268.3060082561424
Fc1c(F)c(F)c(P(c2ccccc2)c2ccccc2)c(F)c1F,121,7,-1532.41204688,-1532.23082788,0.0,,1,-1532.341409705002
c1ccc(-c2ccccc2P(c2ccccc2)c2ccccc2)cc1,122,10,-1267.28331906,-1266.97883806,0.0,,1,-1267.1810236707202
Fc1cccc(P(c2cccc(F)c2)c2cccc(F)c2)c1,123,6,-1333.97263266,-1333.77348666,1.0,,1,-1333.8940361903894
Fc1ccccc1P(c1ccccc1F)c1ccccc1F,124,7,-1333.96948104,-1333.76761804,0.0,,1,-1333.8974319422118
COc1cccc(P(c2cccc(OC)c2)c2cccc(OC)c2)c1,125,7,-1379.81451547,-1379.49795447,1.0,,1,-1379.6696918380194
CC(C)(C)P(c1ccccc1)c1ccccc1,126,4,-962.468347294,-962.205700294,0.0,,1,-962.3305752294061
Cc1ccccc1P(C)c1ccccc1C,127,7,-923.164981742,-922.931388742,0.0,,1,-923.051009076096
CP(c1ccccc1)c1ccccc1,128,1,-844.532393737,-844.352019737,0.0,,1,-844.455881518253
CP(C)C1CCCCC1,129,1,-656.467177471,-656.265355471,0.0,,1,-656.3111637637521
CC(C)P(C)C,130,3,-539.728925847,-539.591230847,0.0,,1,-539.618539858621
CCP(c1ccccc1)c1ccccc1,131,2,-883.845392548,-883.6380895479999,3.0,,1,-883.7482614764339
c1ccc(P(c2ccccc2)c2ccccn2)cc1,132,4,-1052.28196788,-1052.06527988,4.0,,0,-1052.2132529908038
COP(OC)N(C(C)C)C(C)C,133,2,-863.474431361,-863.235428361,0.0,,1,-863.2906362727598
CC(C)OP(OC(C)C)OC(C)C,134,4,-922.688230868,-922.437376868,4.0,,1,-922.4944389440736
CN(C)P(C)N(C)C,135,3,-650.415464449,-650.2471534489999,1.0,,0,-650.2858565218042
COc1ccccc1P(c1ccccc1)c1ccccc1,136,8,-1150.77001206,-1150.51142206,0.0,,1,-1150.6695860454722
c1ccc(OP(c2ccccc2)c2ccccc2)cc1,137,5,-1111.47547754,-1111.24558154,2.0,,1,-1111.3960033248195
CC(C)(C)P(C1CCCCC1)C1CCCCC1,138,4,-969.753599069,-969.351769069,0.0,,1,-969.4450822520507
CC(C)(C)P(Oc1ccccc1)C(C)(C)C,139,4,-963.923159923,-963.627588923,0.0,,1,-963.725852350776
CP(C)Oc1ccccc1,140,1,-728.047662681,-727.913937681,1.0,,1,-727.9747534516182
FP(F)F,141,1,-640.977926603,-640.996813603,0.0,,1,-640.9783097739862
C1CC1P(C1CC1)C1CC1,142,3,-693.248436395,-693.067838395,0.0,,1,-693.1165818147413
N#CP(C#N)C#N,143,2,-619.800235988,-619.806497988,0.0,,1,-619.8544727307595
FC(F)(F)N1[C]N(C(F)(F)F)C=C1,144,5,-900.263697654,-900.222425654,0.0,,0,-900.2179560964836
CC(=O)N1[C]N(C(C)=O)C=C1,145,4,-531.472163748,-531.3629757479999,0.0,,0,-531.4195152409112
CN1[C]N(C)C=C1,146,2,-304.791018078,-304.694708078,0.0,,2,-304.7331796525014
CC(C)N1[C]N(C(C)C)C=C1,147,4,-462.057347033,-461.854836033,0.0,,2,-461.91528994493575
[C]1N(C2CCCCC2)C=CN1C1CCCCC1,148,0,-695.522354481,-695.1908694809999,0.0,,1,-695.2909041457217
Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)C=C2)c(C)c1,149,7,-924.12669574,-923.78380974,0.0,,1,-923.9502651130938
CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)C=C1,150,13,-1160.00206648,-1159.49167748,0.0,,2,-1159.6913042443605
CC1=C(C)N(C)[C]N1C,151,6,-383.42962102,-383.28049502,0.0,,1,-383.33405173537267
CC(C)(C)N1[C]N(C(C)(C)C)C=C1,152,5,-540.682111482,-540.425732482,0.0,,2,-540.4993985241532
CN1[C]N(C)C(Cl)=C1Cl,153,2,-1223.99482636,-1223.92102436,0.0,,2,-1223.9461576246092
CN1[C]N(C)C(F)=C1F,154,2,-503.248197486,-503.170096486,0.0,,1,-503.19436443519396
CS(=O)(=O)N1[C]N(S(C)(=O)=O)C=C1,155,5,-1401.94574106,-1401.84009306,0.0,,0,-1401.8848060235528
CN(C)C1=C(N(C)C)N(C)[C]N1C,156,10,-572.717708747,-572.4854587469999,1.0,,0,-572.5604814753567
