identifier,component_id,match_scope,is_ts_candidate_folder,is_ts_candidate_hit,component_missing_candidates,component_match_is_ambiguous,file_identifier,search_space,folder,relative_folder,file_name,suffix,path
B_00391_Nu_00080_Cl_00500_0000,B_00391_Nu_00080_Cl_00500,full_conf,True,True,1,False,B_00391_Nu_00080_Cl_00500_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00080_Cl_00500_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00080_Cl_00500_0000reverse.gjf
B_00391_Nu_00133_Cl_00525_0000,B_00391_Nu_00133_Cl_00525,full_conf,True,True,1,False,B_00391_Nu_00133_Cl_00525_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00133_Cl_00525_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00133_Cl_00525_0000forward.gjf
B_00391_Nu_00133_Cl_00525_0000,B_00391_Nu_00133_Cl_00525,full_conf,True,True,1,False,B_00391_Nu_00133_Cl_00525_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00133_Cl_00525_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00133_Cl_00525_0000reverse.gjf
B_00391_Nu_00282_Cl_00466_0000,B_00391_Nu_00282_Cl_00466,full_conf,True,True,1,False,B_00391_Nu_00282_Cl_00466_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00282_Cl_00466_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00282_Cl_00466_0000forward.gjf
B_00391_Nu_00282_Cl_00466_0000,B_00391_Nu_00282_Cl_00466,full_conf,True,True,1,False,B_00391_Nu_00282_Cl_00466_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00282_Cl_00466_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00282_Cl_00466_0000reverse.gjf
B_00392_Nu_00259_Cl_00622_0000,B_00392_Nu_00259_Cl_00622,full_conf,True,True,1,False,B_00392_Nu_00259_Cl_00622_0000,Sum/*,IRC_full,IRC_full,B_00392_Nu_00259_Cl_00622_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00392_Nu_00259_Cl_00622_0000forward.gjf
B_00392_Nu_00259_Cl_00622_0000,B_00392_Nu_00259_Cl_00622,full_conf,True,True,1,False,B_00392_Nu_00259_Cl_00622_0000,Sum/*,IRC_full,IRC_full,B_00392_Nu_00259_Cl_00622_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00392_Nu_00259_Cl_00622_0000reverse.gjf
B_00392_Nu_00349_Cl_00533_0000,B_00392_Nu_00349_Cl_00533,full_conf,True,True,1,False,B_00392_Nu_00349_Cl_00533_0000,Sum/*,IRC_full,IRC_full,B_00392_Nu_00349_Cl_00533_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00392_Nu_00349_Cl_00533_0000forward.gjf
B_00392_Nu_00349_Cl_00533_0000,B_00392_Nu_00349_Cl_00533,full_conf,True,True,1,False,B_00392_Nu_00349_Cl_00533_0000,Sum/*,IRC_full,IRC_full,B_00392_Nu_00349_Cl_00533_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00392_Nu_00349_Cl_00533_0000reverse.gjf
B_00393_Nu_00114_Cl_00618_0000,B_00393_Nu_00114_Cl_00618,full_conf,True,True,1,False,B_00393_Nu_00114_Cl_00618_0000,Sum/*,IRC_full,IRC_full,B_00393_Nu_00114_Cl_00618_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00393_Nu_00114_Cl_00618_0000forward.gjf
B_00393_Nu_00114_Cl_00618_0000,B_00393_Nu_00114_Cl_00618,full_conf,True,True,1,False,B_00393_Nu_00114_Cl_00618_0000,Sum/*,IRC_full,IRC_full,B_00393_Nu_00114_Cl_00618_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00393_Nu_00114_Cl_00618_0000reverse.gjf
B_00393_Nu_00200_Cl_00621_0000,B_00393_Nu_00200_Cl_00621,full_conf,True,True,1,False,B_00393_Nu_00200_Cl_00621_0000,Sum/*,IRC_full,IRC_full,B_00393_Nu_00200_Cl_00621_0000forward.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00393_Nu_00200_Cl_00621_0000forward.log
B_00393_Nu_00200_Cl_00621_0000,B_00393_Nu_00200_Cl_00621,full_conf,True,True,1,False,B_00393_Nu_00200_Cl_00621_0000,Sum/*,IRC_full,IRC_full,B_00393_Nu_00200_Cl_00621_0000reverse.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00393_Nu_00200_Cl_00621_0000reverse.log
B_00394_Nu_00074_Cl_00539_0000,B_00394_Nu_00074_Cl_00539,full_conf,True,True,1,False,B_00394_Nu_00074_Cl_00539_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00074_Cl_00539_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00074_Cl_00539_0000forward.gjf
B_00394_Nu_00074_Cl_00539_0000,B_00394_Nu_00074_Cl_00539,full_conf,True,True,1,False,B_00394_Nu_00074_Cl_00539_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00074_Cl_00539_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00074_Cl_00539_0000reverse.gjf
B_00394_Nu_00262_Cl_00533_0000,B_00394_Nu_00262_Cl_00533,full_conf,True,True,1,False,B_00394_Nu_00262_Cl_00533_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00262_Cl_00533_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00262_Cl_00533_0000forward.gjf
B_00394_Nu_00262_Cl_00533_0000,B_00394_Nu_00262_Cl_00533,full_conf,True,True,1,False,B_00394_Nu_00262_Cl_00533_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00262_Cl_00533_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00262_Cl_00533_0000reverse.gjf
B_00394_Nu_00296_Cl_00621_0000,B_00394_Nu_00296_Cl_00621,full_conf,True,True,1,False,B_00394_Nu_00296_Cl_00621_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00296_Cl_00621_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00296_Cl_00621_0000forward.gjf
B_00394_Nu_00296_Cl_00621_0000,B_00394_Nu_00296_Cl_00621,full_conf,True,True,1,False,B_00394_Nu_00296_Cl_00621_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00296_Cl_00621_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00296_Cl_00621_0000reverse.gjf
B_00394_Nu_00309_Cl_00536_0000,B_00394_Nu_00309_Cl_00536,full_conf,True,True,1,False,B_00394_Nu_00309_Cl_00536_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00309_Cl_00536_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00309_Cl_00536_0000forward.gjf
B_00394_Nu_00309_Cl_00536_0000,B_00394_Nu_00309_Cl_00536,full_conf,True,True,1,False,B_00394_Nu_00309_Cl_00536_0000,Sum/*,IRC_full,IRC_full,B_00394_Nu_00309_Cl_00536_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00394_Nu_00309_Cl_00536_0000reverse.gjf
