Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
COS(=O)(=O)C(C)Cl,556,7,-1202.539505,-1202.464915,0,-742.2673461,-742.1996541,0,460.2721593,460.2652613,63.61300075,0
COC(C)Cl,557,4,-653.962228,-653.892211,0,-193.6794406,-193.6131656,0,460.2827874,460.2790454,72.2625235,0
CC(Cl)CN(C)C,558,2,-712.7140002,-712.5795452,0,-252.4308753,-252.3006243,2,460.2831249,460.2789209,72.18439975,0
CC(Cl)C(F)(F)F,559,2,-876.4945824,-876.4541724,0,-416.2194723,-416.1850023,0,460.2751102,460.2691702,66.0658355,0
CC(Cl)C(C)(C)C,560,2,-696.6971525,-696.5498385,0,-236.4138071,-236.2729341,0,460.2833455,460.2769045,70.91910875,0
C=CC(C)Cl,561,4,-616.8273058,-616.7570048,0,-156.5690566,-156.5020306,0,460.2582492,460.2549742,57.1578455,0
CC(Cl)C1(C)COC1,562,2,-770.6655812,-770.5359342,0,-310.3821464,-310.2600164,0,460.2834348,460.2759178,70.2999545,0
CC(Cl)c1ncccn1,563,2,-802.5465895,-802.4557515,0,-342.285812,-342.19811,0,460.2607776,460.2576416,58.831639,0
CNC(=O)C(C)Cl,564,6,-747.450837,-747.362678,0,-287.1812225,-287.0969985,0,460.2696145,460.2656795,63.87542125,0
CC(=O)C(C)Cl,565,5,-692.0774171,-692.0053591,0,-231.814416,-231.745858,0,460.2630011,460.2595011,59.99847525,0
CC(Cl)c1ccccc1,566,2,-770.4708834,-770.3564894,0,-310.2077661,-310.0967371,0,460.2631173,460.2597523,60.15610325,0
COS(=O)(=O)C(Cl)Cl,567,6,-1622.812684,-1622.776243,0,-1162.549825,-1162.516478,0,460.2628594,460.2597654,60.1643235,0
ClC(Cl)C1CCCC1,568,0,-1155.087531,-1154.970616,0,-694.8127519,-694.6998979,0,460.2747792,460.2707182,67.0372055,0
FC(F)(F)C(Cl)Cl,569,5,-1296.770607,-1296.768476,0,-836.5041712,-836.5060492,0,460.2664361,460.2624271,61.83454025,0
CC(C)(C)C(Cl)Cl,570,5,-1116.986118,-1116.876821,0,-656.7125199,-656.6073139,0,460.2735979,460.2695069,66.27711475,0
CC1(C(Cl)Cl)COC1,571,3,-1190.949636,-1190.857988,0,-730.6788124,-730.5921934,0,460.2708237,460.2657947,63.94770925,0
CC(=O)CC(Cl)Cl,572,5,-1151.68253,-1151.621984,0,-691.4092814,-691.3523524,0,460.2732489,460.2696319,66.35555225,0
CC1(Cl)CCCO1,573,2,-731.390573,-731.285897,0,-271.1103263,-271.0088033,0,460.2802467,460.2770937,71.03783175,0
CC1(Cl)C(=O)C=CC1=O,574,2,-842.2702684,-842.2057084,0,-382.0177554,-381.9563024,0,460.252513,460.249406,53.6638,0
CC(=O)OC(C)(C)Cl,575,7,-806.6313239,-806.5287009,0,-346.3556307,-346.2585847,0,460.2756933,460.2701163,66.65951325,0
CC(=O)C(C)(Cl)C(C)=O,576,5,-844.713179,-844.608262,1,-384.4581987,-384.3563717,0,460.2549802,460.2518902,55.2226355,0
CC(C)(N)Cl,577,4,-634.1191428,-634.0364888,0,-173.8402215,-173.7612015,0,460.2789213,460.2752873,69.90431575,0
C#CC(C)(C)Cl,578,5,-654.8812194,-654.8081694,0,-194.6258353,-194.5580303,0,460.2553841,460.2501391,54.12382025,0
CS(=O)C(C)(C)Cl,579,6,-1091.441012,-1091.346785,0,-631.1671027,-631.0784437,0,460.2739092,460.2683412,65.545638,0
CC(=O)C(C)(F)Cl,580,6,-791.3186294,-791.2558134,0,-331.0615269,-331.0008979,0,460.2571025,460.2549155,57.12101125,0
COS(=O)(=O)C(C)(C)Cl,581,8,-1241.85716,-1241.756375,0,-781.5902482,-781.4953692,0,460.2669115,460.2610055,60.94248625,0
COC(C)(C)Cl,582,5,-693.2791385,-693.1823145,0,-232.9982052,-232.9054472,0,460.2809333,460.2768673,70.89576575,0
CN(C)CC(C)(C)Cl,583,7,-752.0301725,-751.8678055,0,-291.7502175,-291.5943495,2,460.279955,460.273456,68.755175,0
CC(F)(F)Cl,584,4,-737.930298,-737.908054,0,-277.6492203,-277.6291673,0,460.2810777,460.2788867,72.16293925,0
