key,B_id,LB_id,Cl_id,barrier_kcal,delta_g_rxn_kcal,B_map,Cl_map,C_map,map_order_ok,center_candidate_count,endpoint_status,selected_endpoint,reactant_B_Cl_A,reactant_C_Cl_A,forward_B_Cl_A,forward_C_Cl_A,reverse_B_Cl_A,reverse_C_Cl_A,min_interfragment_distance_all_A,min_pair_all,min_interfragment_distance_heavy_A,min_pair_heavy,min_vdw_ratio,min_vdw_pair,precomplex_by_heavy_distance,precomplex_by_vdw_ratio
B_00417_LB_00329_Cl_00592,417,329,592,22.039371098000757,-10.816937391276973,1,13,29,True,1,threshold,reverse,3.1114385965819733,1.8686454276769577,1.9059636324791194,3.256161123510629,3.1114385965819733,1.8686454276769577,2.4640029137210857,H27--O34,3.1114385965819733,B1--Cl13,0.8478034323111644,B1--Cl13,True,True
B_00417_LB_00329_Cl_00593,417,329,593,28.11114818193765,-12.730086830469286,1,13,34,True,1,threshold,reverse,3.3242588452256543,1.8153094870117876,1.8966783181733793,3.062514910042072,3.3242588452256543,1.8153094870117876,3.295874789948338,F4--Cl13,3.295874789948338,F4--Cl13,0.9057926008789249,B1--Cl13,True,True
B_00417_LB_00329_Cl_00598,417,329,598,22.287237152874333,-23.196497694075553,1,13,34,True,1,threshold,forward,3.1659817679092845,1.795915631292851,3.1659817679092845,1.795915631292851,1.891369350713657,2.9574424375710175,2.4106964727302356,F6--H39,2.908895273078424,F4--O30,0.8626653318553908,B1--Cl13,True,True
B_00417_LB_00329_Cl_00601,417,329,601,26.032838373905754,-14.488869055623303,1,13,29,True,1,threshold,reverse,3.455650453367788,1.7938692049528029,1.9151407899875141,3.365889081940313,3.455650453367788,1.7938692049528029,3.2777739704721864,F12--Cl13,3.2777739704721864,F12--Cl13,0.9415941289830485,B1--Cl13,True,True
B_00417_LB_00329_Cl_00602,417,329,602,20.61994574001749,-22.656212444941513,1,13,29,True,1,threshold,reverse,3.4855964795747654,1.791786107278712,1.8976699635284318,3.2411477046347335,3.4855964795747654,1.791786107278712,3.1785497652479817,F12--Cl13,3.1785497652479817,F12--Cl13,0.9497538091484374,B1--Cl13,True,True
B_00417_LB_00329_Cl_00603,417,329,603,33.729926518898104,-5.898396347453485,1,13,29,True,1,threshold,reverse,3.46829446648623,1.8053296751480048,1.898505647372691,3.573557016962371,3.46829446648623,1.8053296751480048,2.4309720402633186,F10--H36,3.2907196852671907,F10--C31,0.9104764195742766,F10--H36,True,True
B_00417_LB_00329_Cl_00604,417,329,604,23.664619407892413,-18.113737544874436,1,13,29,True,1,threshold,reverse,3.495828344654382,1.8557644216012439,1.9135069685268984,3.413895487016115,3.495828344654382,1.8557644216012439,2.7008273420470625,F12--H36,3.239654755997003,C3--N31,0.9525417832845727,B1--Cl13,True,True
B_00417_LB_00329_Cl_00605,417,329,605,25.85732410662798,-17.221733501450675,1,13,31,True,1,threshold,reverse,3.2961871301717687,1.7976373350676156,1.8968161067784088,3.3230029647141457,3.2961871301717687,1.7976373350676156,3.030402229651701,H24--Cl13,3.296187130171769,B1--Cl13,0.8981436321993922,B1--Cl13,True,True
B_00417_LB_00329_Cl_00607,417,329,607,26.281331937991762,-18.6129209544339,1,13,29,True,1,threshold,reverse,3.4559534751040846,1.8460066213172153,1.8992832262709003,3.454470166255601,3.4559534751040846,1.8460066213172153,2.2918726582063846,N21--H36,3.2434747875457575,F12--Cl13,0.8334082393477762,N21--H36,True,True
B_00417_LB_00329_Cl_00609,417,329,609,30.471397783678245,-11.296040512673116,1,13,33,True,1,threshold,forward,3.2369328502769408,1.813746215441951,3.2369328502769408,1.813746215441951,1.9013512245858208,3.273992716964563,2.686920187322839,N21--H35,3.167097292841349,C20--O32,0.881998051846578,B1--Cl13,True,True
