B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm,B_type,LB_type,Cl_type
B1OCCO1,400,0,Cc1[c-][n+](C)c(C)n1C,229,2,ClCN1CCCC1,500,0,0,0,-19.8825885,-1348.7093660124192,-16.5003056112797,R2BH,NHC,CCl
B,388,0,N#CP(C#N)C#N,143,2,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,479,3,0,0,-4.35428525,-2100.1135331604683,-3.132122073559353,BH3,Phosphine,CCl
CBOC,404,1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,85,4,ClC(Cl)N1CCCC1,539,0,0,0,-36.16589975,-2165.502877720316,-36.81179833655801,R2BH,Phosphine,CCl2
B,388,0,COC(OC)N(C)C,2,5,ClCc1ccccc1,552,0,0,0,-46.973144,-1160.4944155859898,-49.0117822205157,BH3,Amine/Aryl N,CCl
CC(C)BC(C)C,414,3,CC(=O)CN(C)C,27,4,CN1CC(=O)C1Cl,526,6,0,0,-10.8787165,-1334.948600094402,-7.268810949496186,R2BH,Amine/Aryl N,CCl
CCBCC,433,2,C=CCN(C)Cc1ccccc1,8,3,CN1CC(=O)C1Cl,526,6,0,0,-40.17198525,-1412.0831635747495,-40.53143609549521,R2BH,Amine/Aryl N,CCl
CCBCC,433,2,Cc1cc(N(C)C)cc(C)n1,260,10,CN1CC(=O)C1Cl,526,6,0,0,-32.263038,-1390.0845425046396,-30.229246416378604,R2BH,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,ClC(Cl)(Cl)c1ncccn1,446,0,0,0,-10.7050245,-2320.3750919046843,-13.175636481698437,R2BH,NHC,CCl3
BOc1ccccc1,425,0,CSP(SC)SC,74,2,CN1CC(=O)C1Cl,526,6,0,0,-27.89908925,-2734.064084997515,-25.062669563704887,RBH2,Phosphine,CCl
B1C=CC=C1,401,0,N#CP(C#N)C#N,143,2,O=C1C=C(Cl)C(=O)C(Cl)=C1,485,4,0,0,-4.13654275,-2100.0569493007843,-5.13922327117241,R2BH,Phosphine,CCl
CC(C)BC(C)C,414,3,CN(C)CC#N,67,1,ClC(Cl)N1CCCC1,539,0,0,0,-19.59839375,-1699.4425332974988,-18.574464163291072,R2BH,Amine/Aryl N,CCl2
BC#N,389,0,N#CP(C#N)C#N,143,2,ClC(Cl)N1CCCC1,539,0,0,0,-18.20433975,-1909.1236683219083,-16.192305513335018,RBH2,Phosphine,CCl2
BOC,393,0,C#CCN(C)C,21,3,ClC(Cl)N1CCCC1,539,0,0,0,-27.06275725,-1562.127920023553,-26.373222448225707,RBH2,Amine/Aryl N,CCl2
B1OCCO1,400,0,CC(C)(C)P(C1CCCCC1)C1CCCCC1,138,4,CN1CC(=O)C1Cl,526,6,0,0,-52.93633925,-1969.4747779145189,-51.116713089257296,R2BH,Phosphine,CCl
B1OCCO1,400,0,c1ccc(P(c2ccccc2)c2ccccn2)cc1,132,4,CN1CC(=O)C1Cl,526,6,0,0,-47.9255635,-2052.2483468654577,-42.40742979492551,R2BH,Phosphine,CCl
B,388,0,COC(OC)N(C)C,2,5,ClC(Cl)(Cl)Cl,602,0,0,0,-55.52603175,-2308.280331771849,-56.679882278611,BH3,Amine/Aryl N,CCl4
BOc1ccccc1,425,0,CSP(SC)SC,74,2,CC1(Cl)CCCO1,573,2,0,0,-9.59767525,-2719.2443002495734,-7.773654248565382,RBH2,Phosphine,CCl
CCBCC,433,2,C=CCN(C)Cc1ccccc1,8,3,CN1CN(C)C(Cl)=C1Cl,488,6,0,0,-31.161399,-1891.090803730468,-30.714326588940413,R2BH,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,O=C(Nc1ccccc1)C(Cl)(Cl)Cl,444,10,0,0,-8.62065775,-2456.96307830799,-9.686857366257932,R2BH,NHC,CCl3
