component_key,component_type,spin_metric_label,spin_metric_value,max_abs_spin_density,spin_contamination_before,n_reactions,outlier_fraction,mean_abs_bep_residual,median_abs_bep_residual
BN_00433_00141,BN_radical_complex_r,BN B-atom spin density,0.551151,0.551151,0.0021999999999999,2,0.0,1.690022678457721,1.690022678457721
BN_00433_00144,BN_radical_complex_r,BN B-atom spin density,0.205038,0.527312,0.0034999999999999,1,0.0,4.721070322179493,4.721070322179493
BN_00433_00151,BN_radical_complex_r,BN B-atom spin density,0.458381,0.458381,0.0062999999999999,1,0.0,6.15542513387404,6.15542513387404
BN_00433_00164,BN_radical_complex_r,BN B-atom spin density,0.359794,0.512499,0.0028,1,0.0,2.380762970715569,2.380762970715569
BN_00433_00168,BN_radical_complex_r,BN B-atom spin density,0.331065,0.486082,0.0028,1,0.0,4.7223384290177,4.7223384290177
BN_00433_00169,BN_radical_complex_r,BN B-atom spin density,0.149414,0.533876,0.0026,1,0.0,3.642561024063177,3.642561024063177
BN_00433_00171,BN_radical_complex_r,BN B-atom spin density,0.242905,0.571308,0.0030999999999999,1,0.0,3.354038824736705,3.354038824736705
BN_00433_00173,BN_radical_complex_r,BN B-atom spin density,0.305155,0.519924,0.0023999999999999,1,0.0,2.4093005604571616,2.4093005604571616
BN_00433_00178,BN_radical_complex_r,BN B-atom spin density,0.182048,0.4729,0.0114999999999999,1,0.0,4.659957251536998,4.659957251536998
BN_00433_00183,BN_radical_complex_r,BN B-atom spin density,0.254054,0.410947,0.0193999999999999,2,0.0,2.6680393553935247,2.6680393553935247
BN_00433_00184,BN_radical_complex_r,BN B-atom spin density,0.001627,0.271128,0.0241,2,0.5,9.170243339092721,9.170243339092721
BN_00433_00187,BN_radical_complex_r,BN B-atom spin density,0.284914,0.406151,0.0068,2,0.0,4.733878548758097,4.733878548758097
BN_00433_00189,BN_radical_complex_r,BN B-atom spin density,0.240327,0.467753,0.0051999999999999,2,0.0,3.2948526856813682,3.2948526856813682
BN_00433_00196,BN_radical_complex_r,BN B-atom spin density,0.234375,0.436253,0.0050999999999999,1,0.0,3.1680714714525493,3.1680714714525493
BN_00433_00209,BN_radical_complex_r,BN B-atom spin density,0.225391,0.354586,0.0078,2,0.0,2.39498885939733,2.39498885939733
