identifier,B_Index,N_Index,Cl_Index,conf_idxs_ts,log_source,log_name_variant,log_found,log_path,normal_termination,charge,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after
B_00388_Nu_00033_Cl_00486_0000,388,33,486,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00033_Cl_00486_0000.log,True,0,2,0.75,0.7601,0.7501,0.7501,0.010099999999999998,9.999999999998899e-05
B_00388_Nu_00033_Cl_00488_0002,388,33,488,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00033_Cl_00488_0002.log,True,0,2,0.75,0.7561,0.75,0.75,0.006099999999999994,0.0
B_00388_Nu_00033_Cl_00583_0000,388,33,583,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00033_Cl_00583_0000.log,True,0,2,0.75,0.7569,0.75,0.75,0.006900000000000017,0.0
B_00388_Nu_00042_Cl_00458_0000,388,42,458,0,TS_needIRC_base_then_conf_v1,base_without_conf,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00042_Cl_00458.log,True,0,2,0.75,0.754,0.75,0.75,0.0040000000000000036,0.0
B_00388_Nu_00046_Cl_00462_0000,388,46,462,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00046_Cl_00462_0000.log,True,0,2,0.75,0.7664,0.7502,0.7502,0.01639999999999997,0.00019999999999997797
B_00388_Nu_00051_Cl_00445_0000,388,51,445,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00051_Cl_00445_0000.log,True,0,2,0.75,0.7635,0.7501,0.7501,0.013499999999999956,9.999999999998899e-05
B_00388_Nu_00051_Cl_00446_0010,388,51,446,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00051_Cl_00446_0010.log,True,0,2,0.75,0.762,0.7501,0.7501,0.01200000000000001,9.999999999998899e-05
B_00388_Nu_00051_Cl_00447_0020,388,51,447,20,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00051_Cl_00447_0020.log,True,0,2,0.75,0.763,0.7501,0.7501,0.013000000000000012,9.999999999998899e-05
B_00388_Nu_00051_Cl_00454_0000,388,51,454,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00051_Cl_00454_0000.log,True,0,2,0.75,0.7631,0.7501,0.7501,0.0131,9.999999999998899e-05
B_00388_Nu_00051_Cl_00462_0000,388,51,462,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00051_Cl_00462_0000.log,True,0,2,0.75,0.7586,0.7501,0.7501,0.008600000000000052,9.999999999998899e-05
