key,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key
B_00388_LB_00051_Cl_00501,9.935768814070638,-34.682539261944775,B_00388_LB_00051_r,Cl_00501_r,B_00388_LB_00051_p,Cl_00501_p
B_00388_LB_00051_Cl_00505,7.37978053425804,-38.95313646341328,B_00388_LB_00051_r,Cl_00505_r,B_00388_LB_00051_p,Cl_00505_p
B_00388_LB_00051_Cl_00506,8.280529665744222,-37.66736071125205,B_00388_LB_00051_r,Cl_00506_r,B_00388_LB_00051_p,Cl_00506_p
B_00388_LB_00051_Cl_00507,9.004305514272193,-36.695123302771336,B_00388_LB_00051_r,Cl_00507_r,B_00388_LB_00051_p,Cl_00507_p
B_00388_LB_00051_Cl_00514,4.753005007627005,-44.1729971672509,B_00388_LB_00051_r,Cl_00514_r,B_00388_LB_00051_p,Cl_00514_p
B_00388_LB_00051_Cl_00515,7.595375283049151,-36.78047015871643,B_00388_LB_00051_r,Cl_00515_r,B_00388_LB_00051_p,Cl_00515_p
B_00388_LB_00051_Cl_00526,1.950310985078875,-53.37175562838657,B_00388_LB_00051_r,Cl_00526_r,B_00388_LB_00051_p,Cl_00526_p
B_00388_LB_00051_Cl_00532,2.904303656236113,-52.84287441937786,B_00388_LB_00051_r,Cl_00532_r,B_00388_LB_00051_p,Cl_00532_p
B_00388_LB_00051_Cl_00539,4.1071220044285,-42.86605996524633,B_00388_LB_00051_r,Cl_00539_r,B_00388_LB_00051_p,Cl_00539_p
B_00388_LB_00051_Cl_00542,0.9691789174874206,-57.25903708803406,B_00388_LB_00051_r,Cl_00542_r,B_00388_LB_00051_p,Cl_00542_p
B_00388_LB_00051_Cl_00543,3.730456616655765,-63.08611785933254,B_00388_LB_00051_r,Cl_00543_r,B_00388_LB_00051_p,Cl_00543_p
B_00388_LB_00051_Cl_00544,2.4220816395712017,-59.289788580106695,B_00388_LB_00051_r,Cl_00544_r,B_00388_LB_00051_p,Cl_00544_p
B_00388_LB_00051_Cl_00545,2.0369990099161646,-55.140139976984806,B_00388_LB_00051_r,Cl_00545_r,B_00388_LB_00051_p,Cl_00545_p
B_00388_LB_00051_Cl_00546,2.795994822012454,-48.64902383677809,B_00388_LB_00051_r,Cl_00546_r,B_00388_LB_00051_p,Cl_00546_p
B_00388_LB_00051_Cl_00548,1.503167245465548,-50.805858023580996,B_00388_LB_00051_r,Cl_00548_r,B_00388_LB_00051_p,Cl_00548_p
B_00388_LB_00051_Cl_00550,9.61911440101769,-34.178398962594464,B_00388_LB_00051_r,Cl_00550_r,B_00388_LB_00051_p,Cl_00550_p
B_00388_LB_00051_Cl_00551,5.094690120936657,-44.09597662477382,B_00388_LB_00051_r,Cl_00551_r,B_00388_LB_00051_p,Cl_00551_p
B_00388_LB_00051_Cl_00552,5.770985716552535,-46.74437840043326,B_00388_LB_00051_r,Cl_00552_r,B_00388_LB_00051_p,Cl_00552_p
B_00388_LB_00051_Cl_00554,8.372124609892694,-33.86051972706623,B_00388_LB_00051_r,Cl_00554_r,B_00388_LB_00051_p,Cl_00554_p
B_00388_LB_00051_Cl_00555,9.033547159784504,-35.703186270735124,B_00388_LB_00051_r,Cl_00555_r,B_00388_LB_00051_p,Cl_00555_p
B_00388_LB_00051_Cl_00556,6.180432524021827,-42.362074702114725,B_00388_LB_00051_r,Cl_00556_r,B_00388_LB_00051_p,Cl_00556_p
B_00388_LB_00051_Cl_00558,10.164858730135556,-36.13280322038081,B_00388_LB_00051_r,Cl_00558_r,B_00388_LB_00051_p,Cl_00558_p
B_00388_LB_00051_Cl_00560,9.50637211756434,-36.40571359983403,B_00388_LB_00051_r,Cl_00560_r,B_00388_LB_00051_p,Cl_00560_p
B_00388_LB_00051_Cl_00561,6.216406405426127,-51.10697027798505,B_00388_LB_00051_r,Cl_00561_r,B_00388_LB_00051_p,Cl_00561_p
B_00388_LB_00051_Cl_00563,4.4066277460564685,-50.42022052689581,B_00388_LB_00051_r,Cl_00563_r,B_00388_LB_00051_p,Cl_00563_p
B_00388_LB_00051_Cl_00578,4.535809195047336,-54.55894504754248,B_00388_LB_00051_r,Cl_00578_r,B_00388_LB_00051_p,Cl_00578_p
B_00388_LB_00051_Cl_00579,7.097756700236086,-41.68882980036275,B_00388_LB_00051_r,Cl_00579_r,B_00388_LB_00051_p,Cl_00579_p
B_00388_LB_00051_Cl_00584,6.9076457178107225,-35.22544476244576,B_00388_LB_00051_r,Cl_00584_r,B_00388_LB_00051_p,Cl_00584_p
B_00388_LB_00051_Cl_00585,5.834842750190967,-53.4535949658336,B_00388_LB_00051_r,Cl_00585_r,B_00388_LB_00051_p,Cl_00585_p
B_00388_LB_00051_Cl_00590,2.2567321841533357,-63.363550131101874,B_00388_LB_00051_r,Cl_00590_r,B_00388_LB_00051_p,Cl_00590_p
B_00388_LB_00051_Cl_00598,2.55796218929369,-53.73590929450405,B_00388_LB_00051_r,Cl_00598_r,B_00388_LB_00051_p,Cl_00598_p
B_00388_LB_00051_Cl_00599,1.8238154165239848,-58.45332241108178,B_00388_LB_00051_r,Cl_00599_r,B_00388_LB_00051_p,Cl_00599_p
B_00388_LB_00051_Cl_00601,3.7209041234058557,-46.23812783764647,B_00388_LB_00051_r,Cl_00601_r,B_00388_LB_00051_p,Cl_00601_p
B_00388_LB_00051_Cl_00602,1.5727542274561472,-54.4124784585999,B_00388_LB_00051_r,Cl_00602_r,B_00388_LB_00051_p,Cl_00602_p
B_00388_LB_00051_Cl_00604,3.4154080239570526,-51.35646099217284,B_00388_LB_00051_r,Cl_00604_r,B_00388_LB_00051_p,Cl_00604_p
B_00388_LB_00051_Cl_00608,7.674277639834408,-36.813237580020335,B_00388_LB_00051_r,Cl_00608_r,B_00388_LB_00051_p,Cl_00608_p
B_00388_LB_00051_Cl_00610,4.894555859259789,-51.2826767456442,B_00388_LB_00051_r,Cl_00610_r,B_00388_LB_00051_p,Cl_00610_p
B_00388_LB_00051_Cl_00616,4.627186359684599,-55.9281943884629,B_00388_LB_00051_r,Cl_00616_r,B_00388_LB_00051_p,Cl_00616_p
B_00388_LB_00051_Cl_00619,3.442738107631537,-52.45743443598814,B_00388_LB_00051_r,Cl_00619_r,B_00388_LB_00051_p,Cl_00619_p
B_00388_LB_00051_Cl_00621,3.9211774194796867,-62.03642114049856,B_00388_LB_00051_r,Cl_00621_r,B_00388_LB_00051_p,Cl_00621_p
B_00388_LB_00051_Cl_00622,1.0280696858550589,-51.184350170991316,B_00388_LB_00051_r,Cl_00622_r,B_00388_LB_00051_p,Cl_00622_p
B_00388_LB_00053_Cl_00488,10.780556163253635,-45.197588586470225,B_00388_LB_00053_r,Cl_00488_r,B_00388_LB_00053_p,Cl_00488_p
B_00388_LB_00054_Cl_00504,10.503987177300676,-35.90119152821375,B_00388_LB_00054_r,Cl_00504_r,B_00388_LB_00054_p,Cl_00504_p
B_00388_LB_00055_Cl_00557,11.788965270554698,-33.81498974177382,B_00388_LB_00055_r,Cl_00557_r,B_00388_LB_00055_p,Cl_00557_p
B_00388_LB_00056_Cl_00558,11.14777035660969,-37.409394408689685,B_00388_LB_00056_r,Cl_00558_r,B_00388_LB_00056_p,Cl_00558_p
B_00388_LB_00058_Cl_00517,11.937554272561513,-33.582133885476544,B_00388_LB_00058_r,Cl_00517_r,B_00388_LB_00058_p,Cl_00517_p
B_00388_LB_00063_Cl_00519,5.139104620844156,-42.25816701863084,B_00388_LB_00063_r,Cl_00519_r,B_00388_LB_00063_p,Cl_00519_p
B_00388_LB_00064_Cl_00488,10.403848270795725,-44.71498280944427,B_00388_LB_00064_r,Cl_00488_r,B_00388_LB_00064_p,Cl_00488_p
B_00388_LB_00068_Cl_00488,8.713053980428882,-47.70278399150412,B_00388_LB_00068_r,Cl_00488_r,B_00388_LB_00068_p,Cl_00488_p
B_00388_LB_00068_Cl_00525,9.152281256100514,-38.60098818601234,B_00388_LB_00068_r,Cl_00525_r,B_00388_LB_00068_p,Cl_00525_p
B_00388_LB_00069_Cl_00462,10.279693355669892,-29.686695896109207,B_00388_LB_00069_r,Cl_00462_r,B_00388_LB_00069_p,Cl_00462_p
B_00388_LB_00069_Cl_00486,20.52453162055391,-9.976123043097385,B_00388_LB_00069_r,Cl_00486_r,B_00388_LB_00069_p,Cl_00486_p
B_00388_LB_00069_Cl_00488,16.333117753963496,-33.793164320805,B_00388_LB_00069_r,Cl_00488_r,B_00388_LB_00069_p,Cl_00488_p
B_00388_LB_00069_Cl_00489,8.642354646643883,-23.16343609410663,B_00388_LB_00069_r,Cl_00489_r,B_00388_LB_00069_p,Cl_00489_p
B_00388_LB_00069_Cl_00490,15.267125801878326,-15.230051814330446,B_00388_LB_00069_r,Cl_00490_r,B_00388_LB_00069_p,Cl_00490_p
B_00388_LB_00069_Cl_00500,14.538167152730411,-23.954241974691868,B_00388_LB_00069_r,Cl_00500_r,B_00388_LB_00069_p,Cl_00500_p
B_00388_LB_00069_Cl_00560,15.215104385193303,-26.64423179877158,B_00388_LB_00069_r,Cl_00560_r,B_00388_LB_00069_p,Cl_00560_p
B_00388_LB_00070_Cl_00462,14.650160153850212,-24.120886358263586,B_00388_LB_00070_r,Cl_00462_r,B_00388_LB_00070_p,Cl_00462_p
B_00388_LB_00070_Cl_00526,12.60535787013277,-38.044464289478505,B_00388_LB_00070_r,Cl_00526_r,B_00388_LB_00070_p,Cl_00526_p
B_00388_LB_00070_Cl_00527,10.585493137599682,-36.810105480004964,B_00388_LB_00070_r,Cl_00527_r,B_00388_LB_00070_p,Cl_00527_p
B_00388_LB_00070_Cl_00558,18.945020475570164,-20.80551188147274,B_00388_LB_00070_r,Cl_00558_r,B_00388_LB_00070_p,Cl_00558_p
B_00388_LB_00070_Cl_00560,18.604084036424247,-21.078422260925958,B_00388_LB_00070_r,Cl_00560_r,B_00388_LB_00070_p,Cl_00560_p
B_00388_LB_00070_Cl_00561,14.486261238657896,-35.77967893907698,B_00388_LB_00070_r,Cl_00561_r,B_00388_LB_00070_p,Cl_00561_p
B_00388_LB_00070_Cl_00562,17.378267441416437,-21.15852002788147,B_00388_LB_00070_r,Cl_00562_r,B_00388_LB_00070_p,Cl_00562_p
