reaction_key,B_Index,N_Index,N_Atomid,Cl_Index,opt_path,spe_path,ts_opt_min,ts_spe_min,ts_opt_spe_min,LB_B_opt_min,LB_B_spe_min,LB_B_min,C_Cl_opt_min,C_Cl_spe_min,C_Cl_min,LB_B_Cl_opt_min,LB_B_Cl_spe_min,LB_B_Cl_min,C_radical_opt_min,C_radical_spe_min,C_radical_min,components_min,complete_min,component_fraction
TS:388:345:462,388,345,2,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00345_Cl_00462_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00345_Cl_00462_0010.log,7.111666666666666,2.065,9.176666666666666,2.1866666666666665,0.7883333333333333,2.9749999999999996,0.2716666666666666,0.0566666666666666,0.3283333333333332,1.57,0.3316666666666666,1.9016666666666666,0.4266666666666666,0.07,0.4966666666666666,5.701666666666666,14.878333333333332,0.3832194466226056
TS:388:345:584,388,345,2,584,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00345_Cl_00584_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00345_Cl_00584_0000.log,4.395,1.0083333333333333,5.403333333333332,2.1866666666666665,0.7883333333333333,2.9749999999999996,0.4433333333333333,0.0833333333333333,0.5266666666666666,1.57,0.3316666666666666,1.9016666666666666,1.525,0.0766666666666666,1.6016666666666666,7.004999999999999,12.408333333333331,0.5645399597044997
TS:388:346:462,388,346,2,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00346_Cl_00462_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00346_Cl_00462_0010.log,9.936666666666667,2.2666666666666666,12.203333333333333,2.808333333333333,0.9866666666666668,3.795,0.2716666666666666,0.0566666666666666,0.3283333333333332,1.2400000000000002,0.285,1.5250000000000001,0.4266666666666666,0.07,0.4966666666666666,6.145,18.348333333333333,0.3349078027068762
TS:388:348:462,388,348,6,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00348_Cl_00462_0001.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00348_Cl_00462_0001.log,5.156666666666666,3.861666666666667,9.018333333333333,2.6216666666666666,1.4966666666666666,4.118333333333333,0.2716666666666666,0.0566666666666666,0.3283333333333332,2.605,0.5133333333333333,3.118333333333333,0.4266666666666666,0.07,0.4966666666666666,8.061666666666666,17.08,0.4719945355191257
TS:388:349:462,388,349,5,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00462_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00462_0000.log,1.9083333333333328,1.5066666666666666,3.414999999999999,0.8366666666666667,0.8316666666666667,1.6683333333333334,0.2716666666666666,0.0566666666666666,0.3283333333333332,1.4700000000000002,0.2383333333333333,1.7083333333333335,0.4266666666666666,0.07,0.4966666666666666,4.201666666666666,7.616666666666665,0.5516411378555799
TS:388:349:487,388,349,5,487,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00487_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00487_0000.log,4.415,1.3333333333333333,5.748333333333333,0.8366666666666667,0.8316666666666667,1.6683333333333334,0.6283333333333334,0.2483333333333333,0.8766666666666667,1.4700000000000002,0.2383333333333333,1.7083333333333335,0.5850000000000001,0.1083333333333333,0.6933333333333334,4.946666666666667,10.695,0.46252142745831387
TS:388:349:498,388,349,5,498,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00498_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00498_0000.log,9.976666666666668,2.4916666666666667,12.468333333333335,0.8366666666666667,0.8316666666666667,1.6683333333333334,1.8766666666666665,0.425,2.3016666666666663,1.4700000000000002,0.2383333333333333,1.7083333333333335,1.8383333333333327,0.4016666666666666,2.2399999999999993,7.918333333333332,20.386666666666667,0.38840745585349895
TS:388:349:563,388,349,5,563,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00563_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00563_0000.log,8.241666666666667,2.4966666666666666,10.738333333333333,0.8366666666666667,0.8316666666666667,1.6683333333333334,1.73,0.33,2.06,1.4700000000000002,0.2383333333333333,1.7083333333333335,4.53,0.3416666666666667,4.871666666666667,10.308333333333334,21.046666666666667,0.4897846056382642
TS:388:349:572,388,349,5,572,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00572_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00572_0000.log,6.245,1.845,8.09,0.8366666666666667,0.8316666666666667,1.6683333333333334,1.3283333333333334,0.235,1.5633333333333335,1.4700000000000002,0.2383333333333333,1.7083333333333335,1.48,0.28,1.76,6.7,14.79,0.4530087897227857
TS:388:349:596,388,349,5,596,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00596_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00596_0000.log,8.536666666666667,1.7916666666666663,10.328333333333333,0.8366666666666667,0.8316666666666667,1.6683333333333334,0.8366666666666667,0.295,1.1316666666666666,1.4700000000000002,0.2383333333333333,1.7083333333333335,1.1116666666666668,0.3466666666666667,1.4583333333333335,5.966666666666667,16.295,0.36616549043673924
TS:388:349:603,388,349,5,603,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00349_Cl_00603_0001.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00349_Cl_00603_0001.log,3.613333333333333,1.165,4.778333333333332,0.8366666666666667,0.8316666666666667,1.6683333333333334,0.7,0.1133333333333333,0.8133333333333332,1.4700000000000002,0.2383333333333333,1.7083333333333335,1.1316666666666666,0.1133333333333333,1.2449999999999999,5.435,10.213333333333331,0.5321475195822455
TS:388:350:462,388,350,6,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00350_Cl_00462_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00350_Cl_00462_0010.log,3.0216666666666665,2.118333333333333,5.14,3.038333333333333,0.975,4.013333333333333,0.2716666666666666,0.0566666666666666,0.3283333333333332,3.975,0.3283333333333333,4.303333333333334,0.4266666666666666,0.07,0.4966666666666666,9.141666666666666,14.281666666666666,0.6400980277745361
TS:388:351:462,388,351,2,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00351_Cl_00462_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00351_Cl_00462_0000.log,5.251666666666667,3.2266666666666666,8.478333333333333,3.553333333333333,1.3966666666666667,4.949999999999999,0.2716666666666666,0.0566666666666666,0.3283333333333332,5.573333333333333,0.5700000000000001,6.1433333333333335,0.4266666666666666,0.07,0.4966666666666666,11.918333333333333,20.39666666666667,0.5843275044941983
