B_Index,N_Index,Cl_Index,Conf_id,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl
392,291,485,0,-2027.109461,18.33812275,32.82507092,1.945187693,2.328388803
392,306,526,0,-1260.109938,3.69528475,10.2264428,2.446270011,2.28335894
392,308,485,0,-1767.689149,9.97216725,20.9280286,2.004305099,2.362610285
392,333,488,11,-1847.371947,16.25570125,23.78472862,2.154910988,2.080963514
392,377,483,0,-1781.588081,40.49351625,53.3279369,2.0172243,2.182645519
393,21,483,0,-1669.644854,-3.2799425,10.57079598,2.173225107,2.07366542
393,67,483,0,-1685.749658,-4.01656475,6.781662325,2.154199342,2.037589176
393,160,449,0,-2241.689417,-3.97715775,25.28997563,2.650313488,2.290677467
393,160,450,1,-2813.86572,0.76987975,28.40113945,2.485079095,2.347152171
393,160,451,14,-2515.064082,1.40490975,26.6862196,2.463600428,2.431409871
393,160,483,0,-1873.122042,34.8047895,45.88551708,2.21592702,2.297415091
393,163,486,10,-1774.154432,24.2206215,44.82512992,2.21074206,2.343196446
393,176,486,0,-1405.206203,20.597813,44.42169135,2.330765761,2.265600804
393,178,486,20,-1354.263928,19.471074,40.84207995,2.301635351,2.35940932
393,193,486,1,-1444.571543,26.94102225,47.8026237,2.237462748,2.386211708
393,280,523,0,-1362.465793,-2.18501775,32.29729323,2.801896511,2.177353047
393,292,483,0,-1867.810789,38.665295,53.09556738,2.085615085,2.22591196
393,300,486,11,-1289.183362,32.1466995,55.00801167,2.069326021,2.352195947
393,301,486,10,-1404.747303,19.427149,45.5144073,2.363031288,2.295095474
393,302,483,0,-1867.78152,39.92876625,55.30485683,2.185388666,2.227652183
393,302,486,10,-1321.379295,39.469248,60.09694255,2.069180781,2.380386988
393,304,486,10,-1215.532612,19.277804,44.74757093,2.191224706,2.276809597
393,306,479,1,-2043.397889,40.80538375,52.5396463,2.063854901,2.297290116
393,306,483,10,-1867.791725,47.70901325,59.7088338,2.065018696,2.247975318
393,307,486,0,-1290.524332,25.72630775,52.87298057,2.132568431,2.262615019
393,352,486,1,-1251.453745,23.620857,61.58743702,2.273946966,2.244613264
393,377,483,10,-1856.831397,46.74015325,58.81624643,2.122404912,2.241119919
393,377,485,10,-1878.831843,40.60245025,55.21582712,2.048805235,2.363575425
394,333,488,0,-2039.040873,13.65308225,21.38575848,2.164068587,2.071783515
395,120,492,0,-2577.188165,14.55549,16.11042245,2.733953811,1.938200748
395,200,487,1,-1233.683609,13.38200225,37.90843588,2.530893562,2.387848931
395,256,487,0,-1178.33008,17.76797625,46.84047168,2.4009732,2.391874413
395,258,487,0,-1175.854063,25.366562,52.4892204,2.279630363,2.419807433
395,280,487,11,-1194.441324,19.660077,44.57902442,2.277452492,2.405638309
395,292,483,1,-1887.201842,42.5082305,54.44508142,2.344266815,2.328513097
395,292,487,1,-1224.097501,35.1908275,58.53065863,2.044473858,2.493725088
395,296,487,0,-1302.684453,34.0096215,58.1882507,2.120101267,2.43531065
395,298,487,10,-1118.226431,21.54201225,45.4377017,2.413603599,2.477633624
395,302,479,3,-2062.778444,41.90194,55.08101503,2.057685458,2.245000725
395,302,483,0,-1887.177947,48.8055695,58.69468712,2.291797315,2.38781507
395,304,487,10,-1118.227877,19.6612065,43.56810938,2.38511849,2.445779357
395,306,483,1,-1887.185439,52.97336175,61.47443683,2.341045987,2.420676741
395,306,485,0,-1909.185516,46.83565875,58.10502538,2.038928291,2.411339963
395,308,487,11,-1177.207908,18.115925,40.7816768,2.677875571,2.493343127
395,324,487,1,-1118.25555,13.7511605,39.35779145,2.680659419,2.412722954
395,331,487,0,-1173.603917,13.8415205,42.80582238,2.430137464,2.421500408
395,333,618,0,-2787.466404,52.6370845,67.41615902,2.02480881,2.424178955
395,377,479,12,-2051.825548,45.43570625,55.57592427,2.155462368,2.481334386
395,377,485,11,-1898.222596,46.20163275,57.40910278,2.124105248,2.464956877
396,254,488,1,-1911.643686,0.35886725,30.2710016,2.318901863,2.184646912
396,302,488,10,-1927.666782,8.46629275,29.93661312,2.243966705,2.170432512
396,306,526,10,-1448.704435,-0.305216,8.7275963,2.540677934,2.335073396
396,333,483,1,-2089.418878,42.3654115,57.93790957,1.937449815,2.373353835
396,333,488,0,-2035.96783,16.028358,24.53117125,2.126707287,2.12533426
396,377,483,0,-1970.183298,40.89925775,55.02603975,2.001232149,2.261181674
397,160,453,0,-2075.925956,1.966083,28.07832835,2.256371205,2.146305891
397,178,489,20,-2501.90174,2.34578325,25.01738962,2.359662317,2.155900668
397,254,489,10,-2452.996195,13.7632085,41.35575773,2.137609689,2.141531043
